entity_id,sku,product_name,brand,type_id,attribute_set_id,category_id,cost_price,list_price,country_of_origin,is_seasonal,season_tag,is_active,created_at,updated_at
1,TS0001,Hermès Birkin 25 Togo Noir,Hermès,simple,1,6,180000000,320000000,Pháp,0,,1,2016-04-01,2022-02-21
2,TS0002,Hermès Kelly 28 Epsom Gold,Hermès,simple,1,6,150000000,285000000,Pháp,0,,1,2018-01-31,2023-05-17
3,TS0003,Hermès Constance 24 Etoupe,Hermès,simple,1,6,110000000,198000000,Pháp,0,,1,2017-07-03,2022-10-13
4,TS0004,Hermès Evelyne PM Bleu Saphir,Hermès,simple,1,6,45000000,84000000,Pháp,0,,1,2016-02-24,2022-06-28
5,TS0005,Hermès Silk Scarf 90cm Jardin,Hermès,simple,4,9,6500000,12500000,Pháp,1,Tết,1,2021-08-15,2024-05-14
6,TS0006,Hermès Clic H Bracelet Gold,Hermès,simple,4,11,12000000,22500000,Pháp,0,,1,2015-05-11,2022-03-03
7,TS0007,Hermès Belt Réversible 32mm,Hermès,simple,4,9,8000000,14800000,Pháp,0,,1,2016-01-19,2023-03-24
8,TS0008,Hermès Twilly Silk Scarf,Hermès,simple,4,9,3500000,6500000,Pháp,1,Tết,1,2017-08-10,2024-10-31
9,TS0009,Bottega Veneta Jodie Hobo Tan,Bottega Veneta,simple,1,6,38000000,69000000,Ý,0,,1,2021-10-01,2022-02-24
10,TS0010,Bottega Veneta Cassette Bag Navy,Bottega Veneta,simple,1,6,55000000,98000000,Ý,0,,1,2021-04-17,2023-02-12
11,TS0011,Bottega Veneta Lug Chelsea Boot,Bottega Veneta,simple,3,8,18000000,34000000,Ý,0,,1,2021-02-10,2024-05-09
12,TS0012,Bottega Veneta Intrecciato Card Case,Bottega Veneta,simple,4,9,6500000,12000000,Ý,0,,1,2017-06-21,2024-07-08
13,TS0013,Loewe Puzzle Bag Small Clay,Loewe,simple,1,6,42000000,76000000,Tây Ban Nha,0,,1,2021-08-10,2023-07-24
14,TS0014,Loewe Hammock Bag Medium,Loewe,simple,1,6,35000000,64000000,Tây Ban Nha,0,,1,2015-01-27,2022-11-23
15,TS0015,Loewe Anagram Crewneck,Loewe,simple,2,7,9500000,18000000,Tây Ban Nha,0,,1,2019-09-28,2023-11-28
16,TS0016,Loewe Elephant Hoodie,Loewe,simple,2,7,9800000,18500000,Tây Ban Nha,0,,1,2018-02-12,2022-11-15
17,TS0017,Rimowa Original Check-In L Silver,Rimowa,simple,4,9,14000000,26000000,Đức,1,Hè,1,2017-05-31,2023-11-21
18,TS0018,Rimowa Essential Cabin Black,Rimowa,simple,4,9,9500000,18000000,Đức,1,Hè,1,2016-02-23,2022-07-09
19,TS0019,Tory Burch Kira Chevron Tote,Tory Burch,simple,1,6,12000000,22500000,Mỹ,0,,1,2019-04-06,2022-07-18
20,TS0020,Tory Burch Miller Sandal Ivory,Tory Burch,simple,3,8,4500000,8500000,Mỹ,1,Hè,1,2019-01-10,2023-12-06
21,TS0021,Boss Slim Fit Suit Dark Navy,Boss,simple,2,7,18000000,35000000,Đức,0,,1,2021-10-08,2023-06-26
22,TS0022,Boss Casual Polo White,Boss,simple,2,7,2800000,5500000,Đức,0,,1,2015-06-27,2024-07-29
23,TS0023,Boss Oxford Leather Shoe Black,Boss,simple,3,8,6500000,12500000,Đức,0,,1,2021-01-05,2022-09-13
24,TS0024,Boss Bottled Perfume 100ml,Boss,simple,7,14,2200000,4200000,Đức,0,,1,2019-03-31,2022-06-11
