value_id,entity_id,attribute_id,store_id,value
1,1,1,0,Hermès Birkin 25 Togo Noir
2,2,1,0,Hermès Kelly 28 Epsom Gold
3,3,1,0,Hermès Constance 24 Etoupe
4,4,1,0,Hermès Evelyne PM Bleu Saphir
5,5,1,0,Hermès Silk Scarf 90cm Jardin
6,6,1,0,Hermès Clic H Bracelet Gold
7,7,1,0,Hermès Belt Réversible 32mm
8,8,1,0,Hermès Twilly Silk Scarf
9,9,1,0,Bottega Veneta Jodie Hobo Tan
10,10,1,0,Bottega Veneta Cassette Bag Navy
11,11,1,0,Bottega Veneta Lug Chelsea Boot
12,12,1,0,Bottega Veneta Intrecciato Card Case
13,13,1,0,Loewe Puzzle Bag Small Clay
14,14,1,0,Loewe Hammock Bag Medium
15,15,1,0,Loewe Anagram Crewneck
16,16,1,0,Loewe Elephant Hoodie
17,17,1,0,Rimowa Original Check-In L Silver
18,18,1,0,Rimowa Essential Cabin Black
19,19,1,0,Tory Burch Kira Chevron Tote
20,20,1,0,Tory Burch Miller Sandal Ivory
21,21,1,0,Boss Slim Fit Suit Dark Navy
22,22,1,0,Boss Casual Polo White
23,23,1,0,Boss Oxford Leather Shoe Black
24,24,1,0,Boss Bottled Perfume 100ml
25,25,1,0,Longchamp Le Pliage L Tote Navy
26,26,1,0,Longchamp Le Pliage Neo M Khaki
27,27,1,0,Longchamp Roseau Zip Wallet
28,28,1,0,Sandro Floral Midi Dress
29,29,1,0,Sandro Blazer Classic Black
30,30,1,0,Maje Sequin Mini Dress Gold
31,31,1,0,Patek Philippe Calatrava 5196G
32,32,1,0,Patek Philippe Nautilus 5711/1A
33,33,1,0,Patek Philippe Aquanaut 5168G
34,34,1,0,Patek Philippe Annual Calendar 5205G
35,35,1,0,Jaeger-LeCoultre Reverso Classic
36,36,1,0,Jaeger-LeCoultre Master Ultra Thin
37,37,1,0,Chopard L.U.C XPS Rose Gold
38,38,1,0,Chopard Happy Diamonds Pendant
39,39,1,0,Chopard Ice Cube Ring 18K White Gold
40,40,1,0,Piaget Altiplano Ultimate Concept
41,41,1,0,Piaget Possession Ring Diamond
42,42,1,0,Chaumet Bee My Love Ring Gold
43,43,1,0,Chaumet Joséphine Aigrette Earrings
44,44,1,0,Chaumet Liens Évidence Bracelet
45,45,1,0,Bang & Olufsen Beolab 28
46,46,1,0,Bang & Olufsen Beosound A5
47,47,1,0,Bang & Olufsen Beoplay H95
48,48,1,0,Devialet Phantom I 108dB
49,49,1,0,Devialet Mania
50,50,1,0,Lalique Bacchantes Vase Clear
51,51,1,0,Lalique Deux Paons Vase Amber
52,52,1,0,Christofle Mood Gift Set Silver
53,53,1,0,Christofle Albi Dinner Set 24pcs
54,54,1,0,Diptyque Baies Candle 190g
55,55,1,0,Diptyque Do Son EDP 75ml
56,56,1,0,Diptyque Philosykos EDT 100ml
57,57,1,0,Diptyque Oval Diffuser
58,58,1,0,Biologique Recherche P50 Lotion 250ml
59,59,1,0,Biologique Recherche Crème Dermopurifiante
60,60,1,0,Biologique Recherche Serum Complexe Iribiol
